term_str,n,p
the,3326,0.03993612141733607
to,2782,0.033404176122377914
and,2781,0.03339216886999748
of,2565,0.030798602355822918
a,1591,0.019103538537276515
in,1382,0.016594022789765017
was,1335,0.016029681927884443
her,1202,0.014432717361286217
had,1187,0.01425260857557965
she,1142,0.013712282218459949
i,1117,0.013412100908949006
it,1036,0.012439513466133544
he,961,0.01153896953760071
be,950,0.011406889761415896
not,934,0.01121477372332889
that,874,0.010494338580502624
as,809,0.009713867175774167
for,706,0.008477120180589076
but,661,0.007936793823469375
his,659,0.0079127793187085
with,653,0.007840735804425873
you,626,0.007516539990154053
have,589,0.007072271652077855
at,533,0.006399865518773339
all,527,0.006327822004490713
been,496,0.005955597180697141
him,465,0.00558337235690357
could,451,0.00541527082357744
anne,445,0.0053432273092948145
very,433,0.005199140280729561
they,432,0.0051871330283491226
were,425,0.005103082261686058
by,416,0.0049950169902621185
which,414,0.004971002485501243
is,398,0.004778886447414238
on,396,0.004754871942653362
so,358,0.004298596352196727
no,356,0.004274581847435851
would,355,0.004262574595055414
captain,303,0.0036381974712726486
from,295,0.003542139452229146
their,293,0.003518124947468271
mrs,291,0.0034941104427073954
there,285,0.0034220669284247686
or,274,0.003289987152239953
more,273,0.0032779798998595153
them,269,0.003229950890337764
mr,255,0.003061849357011635
elliot,254,0.003049842104631197
this,250,0.0030018130951094462
an,245,0.002941776833207257
than,243,0.0029177623284463816
one,230,0.0027616680475006906
must,228,0.002737653542739815
when,228,0.002737653542739815
my,221,0.0026536027760767503
being,220,0.0026415955236963125
only,218,0.002617581018935437
lady,214,0.0025695520094136857
such,211,0.0025335302522723727
do,210,0.002521522999891935
much,205,0.002461486737989746
if,201,0.0024134577284679946
any,200,0.002401450476087557
what,195,0.002341414214185368
wentworth,191,0.002293385204663617
who,190,0.002281377952283179
should,188,0.0022573634475223036
me,188,0.0022573634475223036
little,176,0.00211327641895705
said,173,0.0020772546618157365
good,169,0.0020292256522939857
might,166,0.0019932038951526723
own,163,0.001957182138011359
did,162,0.001945174885630921
now,158,0.0018971458761091698
will,158,0.0018971458761091698
herself,158,0.0018971458761091698
we,154,0.0018491168665874188
never,154,0.0018491168665874188
charles,152,0.0018251023618265432
time,151,0.0018130951094461054
think,149,0.0017890806046852298
sir,149,0.0017890806046852298
are,146,0.0017530588475439166
well,144,0.001729044342783041
other,138,0.0016570008285004142
nothing,138,0.0016570008285004142
some,136,0.0016329863237395388
again,132,0.0015849573142177875
great,129,0.0015489355570764741
too,127,0.0015249210523155985
know,126,0.001512913799935161
miss,125,0.0015009065475547231
how,125,0.0015009065475547231
am,125,0.0015009065475547231
your,124,0.0014888992951742853
most,123,0.0014768920427938475
man,123,0.0014768920427938475
see,123,0.0014768920427938475
walter,123,0.0014768920427938475
soon,122,0.0014648847904134097
mary,121,0.001452877538032972
russell,118,0.0014168557808916585
though,117,0.0014048485285112207
before,116,0.001392841276130783
quite,112,0.0013448122666090319
first,111,0.001332805014228594
musgrove,111,0.001332805014228594
two,110,0.0013207977618481562
always,110,0.0013207977618481562
without,108,0.0012967832570872806
can,107,0.0012847760047068428
bath,101,0.0012127324904242162
every,101,0.0012127324904242162
louisa,100,0.0012007252380437784
has,99,0.0011887179856633406
into,98,0.0011767107332829028
about,97,0.001164703480902465
after,96,0.0011526962285220274
made,96,0.0011526962285220274
out,95,0.0011406889761415896
father,94,0.0011286817237611518
himself,94,0.0011286817237611518
long,94,0.0011286817237611518
say,93,0.001116674471380714
seemed,93,0.001116674471380714
having,92,0.0011046672190002762
thought,90,0.0010806527142394006
however,89,0.0010686454618589628
house,89,0.0010686454618589628
up,88,0.001056638209478525
make,88,0.001056638209478525
last,88,0.001056638209478525
go,87,0.0010446309570980872
better,87,0.0010446309570980872
may,87,0.0010446309570980872
many,85,0.0010206164523372118
young,84,0.001008609199956774
place,84,0.001008609199956774
found,83,0.0009966019475763361
same,83,0.0009966019475763361
elizabeth,81,0.0009725874428154605
home,81,0.0009725874428154605
over,80,0.0009605801904350227
felt,80,0.0009605801904350227
like,80,0.0009605801904350227
give,78,0.0009365656856741472
away,78,0.0009365656856741472
ever,78,0.0009365656856741472
friend,77,0.0009245584332937094
family,77,0.0009245584332937094
uppercross,77,0.0009245584332937094
way,77,0.0009245584332937094
feelings,75,0.0009005439285328338
come,75,0.0009005439285328338
done,73,0.0008765294237719583
sure,73,0.0008765294237719583
still,73,0.0008765294237719583
kellynch,73,0.0008765294237719583
sister,72,0.0008645221713915205
those,72,0.0008645221713915205
its,72,0.0008645221713915205
enough,71,0.0008525149190110827
upon,71,0.0008525149190110827
even,71,0.0008525149190110827
off,69,0.0008285004142502071
then,69,0.0008285004142502071
came,68,0.0008164931618697694
back,68,0.0008164931618697694
lyme,67,0.0008044859094893316
room,67,0.0008044859094893316
while,67,0.0008044859094893316
henrietta,66,0.0007924786571088938
benwick,66,0.0007924786571088938
just,66,0.0007924786571088938
day,66,0.0007924786571088938
another,65,0.000780471404728456
going,65,0.000780471404728456
heard,65,0.000780471404728456
present,64,0.0007684641523480182
something,64,0.0007684641523480182
our,64,0.0007684641523480182
mind,64,0.0007684641523480182
happy,64,0.0007684641523480182
here,63,0.0007564568999675805
harville,63,0.0007564568999675805
indeed,63,0.0007564568999675805
few,62,0.0007444496475871427
knew,61,0.0007324423952067049
acquaintance,61,0.0007324423952067049
smith,61,0.0007324423952067049
down,61,0.0007324423952067049
admiral,61,0.0007324423952067049
party,61,0.0007324423952067049
almost,60,0.000720435142826267
musgroves,60,0.000720435142826267
half,60,0.000720435142826267
rather,60,0.000720435142826267
moment,60,0.000720435142826267
morning,59,0.0007084278904458292
woman,59,0.0007084278904458292
years,58,0.0006964206380653915
yet,58,0.0006964206380653915
others,58,0.0006964206380653915
seen,58,0.0006964206380653915
wish,58,0.0006964206380653915
clay,57,0.0006844133856849537
shall,57,0.0006844133856849537
once,56,0.0006724061333045159
dear,56,0.0006724061333045159
look,56,0.0006724061333045159
perhaps,56,0.0006724061333045159
poor,55,0.0006603988809240781
between,55,0.0006603988809240781
together,54,0.0006483916285436403
oh,54,0.0006483916285436403
evening,54,0.0006483916285436403
hope,53,0.0006363843761632026
till,52,0.0006243771237827648
these,52,0.0006243771237827648
ought,52,0.0006243771237827648
saw,51,0.000612369871402327
gone,51,0.000612369871402327
where,51,0.000612369871402327
annes,50,0.0006003626190218892
known,49,0.0005883553666414514
anything,49,0.0005883553666414514
character,49,0.0005883553666414514
life,49,0.0005883553666414514
take,48,0.0005763481142610137
left,48,0.0005763481142610137
certainly,48,0.0005763481142610137
us,48,0.0005763481142610137
believe,48,0.0005763481142610137
side,47,0.0005643408618805759
cried,47,0.0005643408618805759
yes,47,0.0005643408618805759
old,46,0.0005523336095001381
short,46,0.0005523336095001381
croft,45,0.0005403263571197003
near,45,0.0005403263571197003
since,45,0.0005403263571197003
possible,45,0.0005403263571197003
deal,45,0.0005403263571197003
leave,44,0.0005283191047392625
feel,44,0.0005283191047392625
interest,43,0.0005163118523588248
perfectly,43,0.0005163118523588248
each,43,0.0005163118523588248
really,43,0.0005163118523588248
under,43,0.0005163118523588248
manner,43,0.0005163118523588248
everything,43,0.0005163118523588248
least,42,0.000504304599978387
right,42,0.000504304599978387
does,42,0.000504304599978387
cannot,42,0.000504304599978387
best,42,0.000504304599978387
course,42,0.000504304599978387
next,42,0.000504304599978387
whole,42,0.000504304599978387
looked,42,0.000504304599978387
part,42,0.000504304599978387
heart,41,0.0004922973475979492
sort,41,0.0004922973475979492
love,41,0.0004922973475979492
name,41,0.0004922973475979492
thing,41,0.0004922973475979492
spirits,41,0.0004922973475979492
elliots,41,0.0004922973475979492
hardly,40,0.00048029009521751136
passed,40,0.00048029009521751136
idea,40,0.00048029009521751136
both,40,0.00048029009521751136
wife,40,0.00048029009521751136
hear,39,0.0004682828428370736
among,39,0.0004682828428370736
nor,39,0.0004682828428370736
agreeable,38,0.0004562755904566358
people,38,0.0004562755904566358
pleasure,38,0.0004562755904566358
account,37,0.000444268338076198
themselves,37,0.000444268338076198
hayter,37,0.000444268338076198
crofts,37,0.000444268338076198
company,37,0.000444268338076198
three,37,0.000444268338076198
seeing,37,0.000444268338076198
visit,37,0.000444268338076198
feeling,36,0.00043226108569576025
either,36,0.00043226108569576025
friends,36,0.00043226108569576025
get,36,0.00043226108569576025
whom,35,0.00042025383331532244
head,35,0.00042025383331532244
walk,35,0.00042025383331532244
afterwards,35,0.00042025383331532244
received,34,0.0004082465809348847
world,34,0.0004082465809348847
general,34,0.0004082465809348847
children,34,0.0004082465809348847
change,34,0.0004082465809348847
through,34,0.0004082465809348847
country,34,0.0004082465809348847
wanted,33,0.0003962393285544469
consequence,33,0.0003962393285544469
brought,33,0.0003962393285544469
glad,33,0.0003962393285544469
eyes,33,0.0003962393285544469
given,33,0.0003962393285544469
determined,33,0.0003962393285544469
began,33,0.0003962393285544469
letter,33,0.0003962393285544469
manners,33,0.0003962393285544469
tell,33,0.0003962393285544469
