chap_num,para_num,sent_num,token_num,token_str
1,1,0,0,The
1,1,0,1,family
1,1,0,2,of
1,1,0,3,Dashwood
1,1,0,4,had
1,1,0,5,long
1,1,0,6,been
1,1,0,7,settled
1,1,0,8,in
1,1,0,9,Sussex
1,1,1,0,
1,1,1,1,Their
1,1,1,2,estate
1,1,1,3,was
1,1,1,4,large
1,1,1,5,and
1,1,1,6,their
1,1,1,7,residence
1,1,1,8,was
1,1,1,9,at
1,1,1,10,Norland
1,1,1,11,Park
1,1,1,12,in
1,1,1,13,the
1,1,1,14,centre
1,1,1,15,of
1,1,1,16,their
1,1,1,17,property
1,1,1,18,where
1,1,1,19,for
1,1,1,20,many
1,1,1,21,generations
1,1,1,22,they
1,1,1,23,had
1,1,1,24,lived
1,1,1,25,in
1,1,1,26,so
1,1,1,27,respectable
1,1,1,28,a
1,1,1,29,manner
1,1,1,30,as
1,1,1,31,to
1,1,1,32,engage
1,1,1,33,the
1,1,1,34,general
1,1,1,35,good
1,1,1,36,opinion
1,1,1,37,of
1,1,1,38,their
1,1,1,39,surrounding
1,1,1,40,acquaintance
1,1,2,0,
1,1,2,1,The
1,1,2,2,late
1,1,2,3,owner
1,1,2,4,of
1,1,2,5,this
1,1,2,6,estate
1,1,2,7,was
1,1,2,8,a
1,1,2,9,single
1,1,2,10,man
1,1,2,11,who
1,1,2,12,lived
1,1,2,13,to
1,1,2,14,a
1,1,2,15,very
1,1,2,16,advanced
1,1,2,17,age
1,1,2,18,and
1,1,2,19,who
1,1,2,20,for
1,1,2,21,many
1,1,2,22,years
1,1,2,23,of
1,1,2,24,his
1,1,2,25,life
1,1,2,26,had
1,1,2,27,a
1,1,2,28,constant
1,1,2,29,companion
1,1,2,30,and
1,1,2,31,housekeeper
1,1,2,32,in
1,1,2,33,his
1,1,2,34,sister
1,1,3,0,
1,1,3,1,But
1,1,3,2,her
1,1,3,3,death
1,1,3,4,which
1,1,3,5,happened
1,1,3,6,ten
1,1,3,7,years
1,1,3,8,before
1,1,3,9,his
1,1,3,10,own
1,1,3,11,produced
1,1,3,12,a
1,1,3,13,great
1,1,3,14,alteration
1,1,3,15,in
1,1,3,16,his
1,1,3,17,home
1,1,4,0,
1,1,4,1,for
1,1,4,2,to
1,1,4,3,supply
1,1,4,4,her
1,1,4,5,loss
1,1,4,6,he
1,1,4,7,invited
1,1,4,8,and
1,1,4,9,received
1,1,4,10,into
1,1,4,11,his
1,1,4,12,house
1,1,4,13,the
1,1,4,14,family
1,1,4,15,of
1,1,4,16,his
1,1,4,17,nephew
1,1,4,18,Mr
1,1,5,0,
1,1,5,1,Henry
1,1,5,2,Dashwood
1,1,5,3,the
1,1,5,4,legal
1,1,5,5,inheritor
1,1,5,6,of
1,1,5,7,the
1,1,5,8,Norland
1,1,5,9,estate
1,1,5,10,and
1,1,5,11,the
1,1,5,12,person
1,1,5,13,to
1,1,5,14,whom
1,1,5,15,he
1,1,5,16,intended
1,1,5,17,to
1,1,5,18,bequeath
1,1,5,19,it
1,1,6,0,
1,1,6,1,In
1,1,6,2,the
1,1,6,3,society
1,1,6,4,of
1,1,6,5,his
1,1,6,6,nephew
1,1,6,7,and
1,1,6,8,niece
1,1,6,9,and
1,1,6,10,their
1,1,6,11,children
1,1,6,12,the
1,1,6,13,old
1,1,6,14,Gentleman
1,1,6,15,s
1,1,6,16,days
1,1,6,17,were
1,1,6,18,comfortably
1,1,6,19,spent
1,1,7,0,
1,1,7,1,His
1,1,7,2,attachment
1,1,7,3,to
1,1,7,4,them
1,1,7,5,all
1,1,7,6,increased
1,1,8,0,
1,1,8,1,The
1,1,8,2,constant
1,1,8,3,attention
1,1,8,4,of
1,1,8,5,Mr
1,1,9,0,
1,1,9,1,and
1,1,9,2,Mrs
1,1,10,0,
1,1,10,1,Henry
1,1,10,2,Dashwood
1,1,10,3,to
1,1,10,4,his
1,1,10,5,wishes
1,1,10,6,which
1,1,10,7,proceeded
1,1,10,8,not
1,1,10,9,merely
1,1,10,10,from
1,1,10,11,interest
1,1,10,12,but
1,1,10,13,from
1,1,10,14,goodness
1,1,10,15,of
1,1,10,16,heart
1,1,10,17,gave
1,1,10,18,him
1,1,10,19,every
1,1,10,20,degree
1,1,10,21,of
1,1,10,22,solid
1,1,10,23,comfort
1,1,10,24,which
1,1,10,25,his
1,1,10,26,age
1,1,10,27,could
1,1,10,28,receive
1,1,11,0,
1,1,11,1,and
1,1,11,2,the
1,1,11,3,cheerfulness
1,1,11,4,of
1,1,11,5,the
1,1,11,6,children
1,1,11,7,added
1,1,11,8,a
1,1,11,9,relish
1,1,11,10,to
1,1,11,11,his
1,1,11,12,existence
1,2,0,0,By
1,2,0,1,a
1,2,0,2,former
1,2,0,3,marriage
1,2,0,4,Mr
1,2,1,0,
1,2,1,1,Henry
1,2,1,2,Dashwood
1,2,1,3,had
1,2,1,4,one
1,2,1,5,son
1,2,2,0,
1,2,2,1,by
1,2,2,2,his
1,2,2,3,present
1,2,2,4,lady
1,2,2,5,three
1,2,2,6,daughters
1,2,3,0,
1,2,3,1,The
1,2,3,2,son
1,2,3,3,a
1,2,3,4,steady
1,2,3,5,respectable
1,2,3,6,young
1,2,3,7,man
1,2,3,8,was
1,2,3,9,amply
1,2,3,10,provided
1,2,3,11,for
1,2,3,12,by
1,2,3,13,the
1,2,3,14,fortune
1,2,3,15,of
1,2,3,16,his
1,2,3,17,mother
1,2,3,18,which
1,2,3,19,had
1,2,3,20,been
1,2,3,21,large
1,2,3,22,and
1,2,3,23,half
1,2,3,24,of
1,2,3,25,which
1,2,3,26,devolved
1,2,3,27,on
1,2,3,28,him
1,2,3,29,on
1,2,3,30,his
1,2,3,31,coming
1,2,3,32,of
1,2,3,33,age
1,2,4,0,
1,2,4,1,By
1,2,4,2,his
1,2,4,3,own
1,2,4,4,marriage
1,2,4,5,likewise
1,2,4,6,which
1,2,4,7,happened
1,2,4,8,soon
1,2,4,9,afterwards
1,2,4,10,he
1,2,4,11,added
1,2,4,12,to
1,2,4,13,his
1,2,4,14,wealth
1,2,5,0,
