term_str,n,n_chars,p,i,max_pos,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster
0,2,1,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,0,0,0
1,23,1,1.117069896520473e-05,16.449921014480786,CD,3,"{'NN', 'CD', 'NNP'}",0,1,1,1
10,6,2,2.914095382227321e-06,18.38852046981664,CD,1,{'CD'},0,10,10,10
100,2,3,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,100,100,100
1000,2,4,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,1000,1000,1000
10000,3,5,1.4570476911136605e-06,19.38852046981664,CD,1,{'CD'},0,10000,10000,10000
10000000,1,8,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,10000000,10000000,10000000
10440,1,5,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,10440,10440,10440
10800,2,5,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,10800,10800,10800
10th,2,4,9.71365127409107e-07,19.9734829705378,CD,2,"{'CD', 'NNS'}",0,10th,10th,10th
11000000,1,8,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,11000000,11000000,11000000
118952,1,6,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,118952,118952,118952
11th,2,4,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,11th,11th,11th
12,5,2,2.428412818522767e-06,18.651554875650437,CD,1,{'CD'},0,12,12,12
125000,1,6,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,125000,125000,125000
12th,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,12th,12th,12th
13,1,2,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,13,13,13
13000,1,5,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,13000,13000,13000
139,2,3,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,139,139,139
1399,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1399,1399,1399
13th,3,4,1.4570476911136605e-06,19.38852046981664,CD,1,{'CD'},0,13th,13th,13th
140,1,3,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,140,140,140
144000,1,6,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,144000,144000,144000
1492,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1492,1492,1492
14th,3,4,1.4570476911136605e-06,19.38852046981664,CD,1,{'CD'},0,14th,14th,14th
15,2,2,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,15,15,15
150,1,3,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,150,150,150
150000,1,6,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,150000,150000,150000
1563,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1563,1563,1563
1571,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1571,1571,1571
1586,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1586,1586,1586
1588,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1588,1588,1588
1595,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1595,1595,1595
15th,5,4,2.428412818522767e-06,18.651554875650437,JJ,2,"{'JJ', 'CD'}",0,15th,15th,15th
16,1,2,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,16,16,16
1613,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1613,1613,1613
1652,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1652,1652,1652
1668,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1668,1668,1668
1670,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1670,1670,1670
1671,2,4,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,1671,1671,1671
1681,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1681,1681,1681
1684,1,4,4.856825637045535e-07,20.9734829705378,NNP,1,{'NNP'},0,1684,1684,1684
1688,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1688,1688,1688
1690,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1690,1690,1690
1695,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1695,1695,1695
16th,3,4,1.4570476911136605e-06,19.38852046981664,CD,1,{'CD'},0,16th,16th,16th
17,2,2,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,17,17,17
1710,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1710,1710,1710
1726,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1726,1726,1726
1729,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1729,1729,1729
1736,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1736,1736,1736
1750,2,4,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,1750,1750,1750
1755,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1755,1755,1755
1760,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1760,1760,1760
1768,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1768,1768,1768
1769,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1769,1769,1769
1772,2,4,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,1772,1772,1772
1774,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1774,1774,1774
