chap_num,para_num,sent_num,token_num,token_str,term_str
1,0,0,0,Sir,sir
1,0,0,1,Walter,walter
1,0,0,2,Elliot,elliot
1,0,0,3,of,of
1,0,0,4,Kellynch,kellynch
1,0,0,5,Hall,hall
1,0,0,6,in,in
1,0,0,7,Somersetshire,somersetshire
1,0,0,8,was,was
1,0,0,9,a,a
1,0,0,10,man,man
1,0,0,11,who,who
1,0,0,12,for,for
1,0,0,13,his,his
1,0,0,14,own,own
1,0,0,15,amusement,amusement
1,0,0,16,never,never
1,0,0,17,took,took
1,0,0,18,up,up
1,0,0,19,any,any
1,0,0,20,book,book
1,0,0,21,but,but
1,0,0,22,the,the
1,0,0,23,Baronetage,baronetage
1,0,1,0,there,there
1,0,1,1,he,he
1,0,1,2,found,found
1,0,1,3,occupation,occupation
1,0,1,4,for,for
1,0,1,5,an,an
1,0,1,6,idle,idle
1,0,1,7,hour,hour
1,0,1,8,and,and
1,0,1,9,consolation,consolation
1,0,1,10,in,in
1,0,1,11,a,a
1,0,1,12,distressed,distressed
1,0,1,13,one,one
1,0,2,0,there,there
1,0,2,1,his,his
1,0,2,2,faculties,faculties
1,0,2,3,were,were
1,0,2,4,roused,roused
1,0,2,5,into,into
1,0,2,6,admiration,admiration
1,0,2,7,and,and
1,0,2,8,respect,respect
1,0,2,9,by,by
1,0,2,10,contemplating,contemplating
1,0,2,11,the,the
1,0,2,12,limited,limited
1,0,2,13,remnant,remnant
1,0,2,14,of,of
1,0,2,15,the,the
1,0,2,16,earliest,earliest
1,0,2,17,patents,patents
1,0,3,0,there,there
1,0,3,1,any,any
1,0,3,2,unwelcome,unwelcome
1,0,3,3,sensations,sensations
1,0,3,4,arising,arising
1,0,3,5,from,from
1,0,3,6,domestic,domestic
1,0,3,7,affairs,affairs
1,0,3,8,changed,changed
1,0,3,9,naturally,naturally
1,0,3,10,into,into
1,0,3,11,pity,pity
1,0,3,12,and,and
1,0,3,13,contempt,contempt
1,0,3,14,as,as
1,0,3,15,he,he
1,0,3,16,turned,turned
1,0,3,17,over,over
1,0,3,18,the,the
1,0,3,19,almost,almost
1,0,3,20,endless,endless
1,0,3,21,creations,creations
1,0,3,22,of,of
1,0,3,23,the,the
1,0,3,24,last,last
1,0,3,25,century,century
1,0,4,0,and,and
1,0,4,1,there,there
1,0,4,2,if,if
1,0,4,3,every,every
1,0,4,4,other,other
1,0,4,5,leaf,leaf
1,0,4,6,were,were
1,0,4,7,powerless,powerless
1,0,4,8,he,he
1,0,4,9,could,could
1,0,4,10,read,read
1,0,4,11,his,his
1,0,4,12,own,own
1,0,4,13,history,history
1,0,4,14,with,with
1,0,4,15,an,an
1,0,4,16,interest,interest
1,0,4,17,which,which
1,0,4,18,never,never
1,0,4,19,failed,failed
1,0,5,0,This,this
1,0,5,1,was,was
1,0,5,2,the,the
1,0,5,3,page,page
1,0,5,4,at,at
1,0,5,5,which,which
1,0,5,6,the,the
1,0,5,7,favourite,favourite
1,0,5,8,volume,volume
1,0,5,9,always,always
1,0,5,10,opened,opened
1,1,0,0,"""ELLIOT",elliot
1,1,0,1,OF,of
1,1,0,2,KELLYNCH,kellynch
1,1,0,3,HALL,hall
1,2,0,0,"""Walter",walter
1,2,0,1,Elliot,elliot
1,2,0,2,born,born
1,2,0,3,March,march
1,2,0,4,1,1
1,2,0,5,1760,1760
1,2,0,6,married,married
1,2,0,7,July,july
1,2,0,8,15,15
1,2,0,9,1784,1784
1,2,0,10,Elizabeth,elizabeth
1,2,0,11,daughter,daughter
1,2,0,12,of,of
1,2,0,13,James,james
1,2,0,14,Stevenson,stevenson
1,2,0,15,Esq,esq
1,2,1,0,of,of
1,2,1,1,South,south
1,2,1,2,Park,park
1,2,1,3,in,in
1,2,1,4,the,the
1,2,1,5,county,county
1,2,1,6,of,of
1,2,1,7,Gloucester,gloucester
1,2,1,8,by,by
1,2,1,9,which,which
1,2,1,10,lady,lady
1,2,1,11,(who,who
1,2,1,12,died,died
1,2,1,13,1800),1800
1,2,1,14,he,he
1,2,1,15,has,has
1,2,1,16,issue,issue
1,2,1,17,Elizabeth,elizabeth
1,2,1,18,born,born
1,2,1,19,June,june
1,2,1,20,1,1
1,2,1,21,1785,1785
1,2,2,0,Anne,anne
1,2,2,1,born,born
1,2,2,2,August,august
1,2,2,3,9,9
1,2,2,4,1787,1787
1,2,3,0,a,a
1,2,3,1,still,still
1,2,3,2,born,born
1,2,3,3,son,son
1,2,3,4,November,november
1,2,3,5,5,5
1,2,3,6,1789,1789
1,2,4,0,Mary,mary
1,2,4,1,born,born
1,2,4,2,November,november
1,2,4,3,20,20
1,2,4,4,1791,1791
1,2,5,0,"""",
1,3,0,0,Precisely,precisely
1,3,0,1,such,such
1,3,0,2,had,had
1,3,0,3,the,the
1,3,0,4,paragraph,paragraph
1,3,0,5,originally,originally
1,3,0,6,stood,stood
1,3,0,7,from,from
1,3,0,8,the,the
1,3,0,9,printer,printer
1,3,0,10,s,s
1,3,0,11,hands,hands
1,3,1,0,but,but
1,3,1,1,Sir,sir
1,3,1,2,Walter,walter
1,3,1,3,had,had
1,3,1,4,improved,improved
1,3,1,5,it,it
1,3,1,6,by,by
1,3,1,7,adding,adding
1,3,1,8,for,for
1,3,1,9,the,the
1,3,1,10,information,information
1,3,1,11,of,of
1,3,1,12,himself,himself
1,3,1,13,and,and
1,3,1,14,his,his
1,3,1,15,family,family
1,3,1,16,these,these
1,3,1,17,words,words
1,3,1,18,after,after
1,3,1,19,the,the
1,3,1,20,date,date
1,3,1,21,of,of
1,3,1,22,Mary,mary
1,3,1,23,s,s
1,3,1,24,birth,birth
1,3,1,25,"""Married",married
1,3,1,26,December,december
1,3,1,27,16,16
1,3,1,28,1810,1810
1,3,1,29,Charles,charles
1,3,1,30,son,son
1,3,1,31,and,and
1,3,1,32,heir,heir
1,3,1,33,of,of
1,3,1,34,Charles,charles
